Name,Score,Episodes,Air Date,Source,Studio,id,Genre
Huyao Xiao Hongniang: Yue Hong,7.72,13,"Jun 24, 2016 to Sep 16, 2016",Manga,Haoliners Animation League,33446,"['Comedy', 'Historical', 'Supernatural', 'Romance']"
Tsuredure Children,7.72,12,"Jul 4, 2017 to Sep 19, 2017",Funimation,Studio Gokumi,34902,"['Comedy', 'Romance', 'School', 'Shounen']"
"Yuru Yuri,",7.69,1,"Sep 18, 2019",Manga,Lay-duce,37773,"['Slice of Life', 'Comedy', 'School', 'Shoujo Ai']"
Hunter x Hunter,9.12,148,"Oct 2, 2011 to Sep 24, 2014",Viz Media,Madhouse,11061,"['Action', 'Adventure', 'Fantasy', 'Shounen', 'Super Power']"
Kamisama Hajimemashita OVA,7.99,2,"Aug 20, 2013",Manga,TMS Entertainment,18661,"['Comedy', 'Demons', 'Supernatural', 'Romance', 'Fantasy', 'Shoujo']"
When They Cry: Kai,8.25,24,"Jul 6, 2007 to Dec 18, 2007",Sentai Filmworks,Studio Deen,1889,"['Mystery', 'Psychological', 'Supernatural', 'Thriller']"
Kaguya-sama: Love is War,8.44,12,"Jan 12, 2019 to Mar 30, 2019",Aniplex of America,A-1 Pictures,37999,"['Comedy', 'Psychological', 'Romance', 'School', 'Seinen']"
Keep Your Hands Off Eizouken!,8.20,12,"Jan 6, 2020 to Mar 23, 2020","None found, add some",Science SARU,39792,"['Adventure', 'Comedy', 'School', 'Seinen']"
My Daddy Long Legs,7.77,40,"Jan 4, 1990 to Dec 23, 1990","None found, add some",Nippon Animation,1375,"['Comedy', 'Historical', 'Romance', 'School', 'Shoujo', 'Slice of Life']"
Ookami to Koushinryou II: Ookami to Kohakuiro no Yuuutsu,7.91,1,"Apr 30, 2009",Light novel,Marvy Jack,6007,"['Adventure', 'Fantasy', 'Historical', 'Romance']"
Kill la Kill,8.13,24,"Oct 4, 2013 to Mar 28, 2014",Aniplex of America,Trigger,18679,"['Action', 'Comedy', 'Super Power', 'Ecchi', 'School']"
Fate/stay night [Unlimited Blade Works],8.24,12,"Oct 12, 2014 to Dec 28, 2014",Aniplex of America,ufotable,22297,"['Action', 'Fantasy', 'Magic', 'Supernatural']"
Ginga Eiyuu Densetsu: Arata Naru Tatakai no Overture,8.13,1,"Dec 18, 1993",Novel,Magic Bus,3016,"['Action', 'Drama', 'Military', 'Sci-Fi', 'Space']"
Fire Force,7.73,24,"Jul 6, 2019 to Dec 28, 2019",Funimation,David Production,38671,"['Action', 'Supernatural', 'Shounen']"
Wotaku ni Koi wa Muzukashii OVA,7.85,2,"Mar 29, 2019 to 2021",Web manga,A-1 Pictures,38349,"['Slice of Life', 'Comedy', 'Romance']"
"Night Is Short, Walk on Girl",8.24,1,"Apr 7, 2017",Novel,Science SARU,34537,"['Comedy', 'Romance']"
Tenchi Muyo! War on Geminar,7.88,13,"May 22, 2009 to May 26, 2010",Original,BeSTACK,5781,"['Action', 'Comedy', 'Ecchi', 'Fantasy', 'Harem', 'Mecha', 'School']"
Weathering With You,8.49,1,"Jul 19, 2019",Original,CoMix Wave Films,38826,"['Slice of Life', 'Drama', 'Romance', 'Fantasy']"
Mushishi Path of Thorns,8.48,1,"Aug 20, 2014",Manga,Artland,24687,"['Adventure', 'Fantasy', 'Historical', 'Mystery', 'Seinen', 'Slice of Life', 'Supernatural']"
Macross,7.95,36,"Oct 3, 1982 to Jun 26, 1983","ADV Films,       AnimEigo",Tatsunoko Production,1088,"['Action', 'Mecha', 'Military', 'Music', 'Romance', 'Sci-Fi', 'Space']"
Panty & Stocking with Garterbelt,7.73,13,"Oct 2, 2010 to Dec 25, 2010",Funimation,Gainax,8795,"['Action', 'Comedy', 'Parody', 'Supernatural', 'Ecchi']"
"Akagami no Shirayuki-hime: Nandemonai Takaramono, Kono Page",7.72,1,"Jan 5, 2016",Manga,Bones,31483,"['Drama', 'Fantasy', 'Romance', 'Shoujo']"
Gintama.: Slip Arc,8.53,13,"Oct 2, 2017 to Dec 25, 2017","None found, add some",Bandai Namco Pictures,35843,"['Action', 'Sci-Fi', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Shounen']"
Detective Conan Movie 21: The Crimson Love Letter,7.71,1,"Apr 15, 2017",Manga,TMS Entertainment,34430,"['Action', 'Mystery', 'Historical', 'Police', 'Drama', 'Romance']"
